Korean,Romanization,English,Part of Speech
"다녀오다","danyeooda","to go and come back","Verb"
"다리","dari","leg / bridge","Noun"
"다치다","dachida","to get hurt","Verb"
"닦다","dakda","to wipe / to brush","Verb"
"닫다","datda","to close","Verb"
"달력","dallyeok","calendar","Noun"
"달리다","dallida","to run","Verb"
"담배","dambae","cigarette","Noun"
"답장","dapjang","reply","Noun"
"대답","daedap","answer","Noun"
"대화","daehwa","conversation","Noun"
"더럽다","deoreopda","to be dirty","Adjective"
"덥다","deopda","to be hot (weather)","Adjective"
"도서관","doseogwan","library","Noun"
"도와주다","dowajuda","to help","Verb"
"도착하다","dochakhada","to arrive","Verb"
"동물","dongmul","animal","Noun"
"동생","dongsaeng","younger sibling","Noun"
"동안","dongan","during","Noun"
"되다","doeda","to become","Verb"
"드라마","deurama","drama","Noun"
"드리다","deurida","to give (honorific)","Verb"
"듣다","deutda","to listen","Verb"
"등산","deungsan","hiking","Noun"
"따뜻하다","ttatteuthada","to be warm","Adjective"
"딸","ttal","daughter","Noun"
"떡볶이","tteokbokki","Tteokbokki","Noun"
"똑똑하다","ttokttokhada","to be smart","Adjective"
"뜨겁다","tteugeopda","to be hot (touch)","Adjective"
"라면","ramyeon","Ramen","Noun"
"마리","mari","animal counter","Noun"
"마지막","majimak","last","Noun"
"만두","mandu","dumpling","Noun"
"맑다","makda","to be clear","Adjective"
"맛없다","madeopda","to not taste good","Adjective"
"매운","maeun","spicy","Adjective"
"맵다","maepda","to be spicy","Adjective"
"메뉴","menyu","menu","Noun"
"모르다","moreuda","to not know","Verb"
"목","mok","neck / throat","Noun"
"목요일","mogyoil","Thursday","Noun"
"무겁다","mugeopda","to be heavy","Adjective"
"문","mun","door","Noun"
"문자","munja","text message","Noun"
"묻다","mutda","to stain / to ask","Verb"
"물어보다","mureoboda","to ask","Verb"
"미용실","miyongsil","beauty salon","Noun"
"바지","baji","pants","Noun"
"박물관","bangmulgwan","museum","Noun"
"반갑다","bangapda","to be glad to meet","Adjective"
"반찬","banchan","side dish","Noun"
"받다","batda","to take","Verb"
"발","bal","foot","Noun"
"밥","bap","cooked rice","Noun"
"배","bae","pear","Noun"
"배고프다","baegopeuda","to be hungry","Adjective"
"배부르다","baebureuda","to be full","Adjective"
"백화점","baekhwajeom","department store","Noun"
"버스","beoseu","bus","Noun"
"번호","beonho","number","Noun"
"벌써","beolsseo","already","Adverb"
"벗다","beotda","to take off (clothes)","Verb"
"병원","byeongwon","hospital","Noun"
"보내다","bonaeda","to spend time","Verb"
"복잡하다","bokjaphada","to be complicated / crowded","Adjective"
"봄","bom","spring","Noun"
"부르다","bureuda","to sing","Verb"
"부엌","bueok","kitchen","Noun"
"불고기","bulgogi","Bulgogi","Noun"
"불편하다","bulpyeonhada","to be uncomfortable","Adjective"
"비","bi","rain","Noun"
"비빔밥","bibimbap","Bibimbap","Noun"
"빌리다","billida","to borrow","Verb"
"빨간색","ppalgansaek","red color","Noun"
"빨래","ppallae","laundry","Noun"
"빨리","ppalli","quickly","Adverb"
"빵","ppang","bread","Noun"
"사과","sagwa","apple / apology","Noun"
"사무실","samusil","office","Noun"
"사진","sajin","photo","Noun"
"산책","sanchaek","walk / stroll","Noun"
"삼겹살","samgyeopsal","pork belly","Noun"
"새","sae","bird","Noun"
"색깔","saekkkal","color","Noun"
"생일","saengil","birthday","Noun"
"샤워","syawo","shower","Noun"
"서점","seojeom","bookstore","Noun"
"선생님","seonsaengnim","teacher (honorific)","Noun"
"설거지","seolgeoji","dishwashing","Noun"
"설탕","seoltang","sugar","Noun"
"소금","sogeum","salt","Noun"
"소개하다","sogaehada","to introduce","Verb"
"손","son","hand","Noun"
"손님","sonnim","guest / customer","Noun"
"쇼핑","syoping","shopping","Noun"
"수박","subak","watermelon","Noun"
"수업","sueop","class / lesson","Noun"
"수영","suyeong","swimming","Noun"
"수요일","suyoil","Wednesday","Noun"
"숙제","sukje","homework","Noun"
"숟가락","sutgarak","spoon","Noun"
"쉬다","swida","to rest","Verb"
"슈퍼마켓","syupeomaket","supermarket","Noun"
"스웨터","seuweteo","sweater","Noun"
"스포츠","seupocheu","sports","Noun"
"슬리퍼","seullipeo","slippers","Noun"
"시간","sigan","time","Noun"
"시계","sigye","clock / watch","Noun"
"시장","sijang","market","Noun"
"시험","siheom","exam","Noun"
"식당","sikdang","restaurant","Noun"
"식사","siksa","meal","Noun"
"신다","sinda","to wear (shoes/socks)","Verb"
"신발","sinbal","shoes","Noun"
"심심하다","simsimhada","to be bored","Adjective"
"싱겁다","singgeopda","to be bland","Adjective"
"싸다","ssada","to be cheap","Adjective"
"쓰레기","sseuregi","trash","Noun"
"씻다","ssitda","to wash","Verb"
"아이스크림","aiseukeurim","ice cream","Noun"
"아저씨","ajeossi","middle-aged man","Noun"
"아줌마","ajumma","middle-aged woman","Noun"
"아파트","apateu","apartment","Noun"
"안경","angyeong","glasses","Noun"
"앉다","anda","to sit","Verb"
"알다","alda","to know","Verb"
"앞","ap","front","Noun"
"약","yak","medicine","Noun"
"약국","yakguk","pharmacy","Noun"
"양말","yangmal","socks","Noun"
"어깨","eokkae","shoulder","Noun"
"어둡다","eodupda","to be dark","Adjective"
"어제","eoje","yesterday","Noun"
"언니","eonni","older sister (for female)","Noun"
"얼굴","eolgul","face","Noun"
"엘리베이터","ellibeiteo","elevator","Noun"
"여권","yeogwon","passport","Noun"
"여동생","yeodongsaeng","younger sister","Noun"
"여기","yeogi","here","Pronoun"
"여행","yeohaeng","trip","Noun"
"역","yeok","station","Noun"
"연필","yeonpil","pencil","Noun"
"열다","yeolda","to open","Verb"
"열쇠","yeolsoe","key","Noun"
"열심히","yeolsimhi","diligently","Adverb"
"영화","yeonghwa","movie","Noun"
"영화관","yeonghwagwan","cinema","Noun"
"옆","yeop","side / next to","Noun"
"오다","oda","to come","Verb"
"오래","orae","long time","Adverb"
"오랜만","oraenman","after a long time","Noun"
"오빠","oppa","older brother (for female)","Noun"
"오전","ojeon","morning (AM)","Noun"
"오후","ohu","afternoon (PM)","Noun"
"올라가다","ollagada","to go up","Verb"
"올해","olhae","this year","Noun"
"옷","ot","clothes","Noun"
"외국인","oegugin","foreigner","Noun"
"요리","yori","cooking","Noun"
"요리하다","yorihada","to cook","Verb"
"요일","yoil","day of the week","Noun"
"우산","usan","umbrella","Noun"
"우유","uyu","milk","Noun"
"우체국","ucheguk","post office","Noun"
"운동하다","undonghada","to exercise","Verb"
"운동화","undonghwa","sneakers","Noun"
"운전하다","unjeonhada","to drive","Verb"
"울다","ulda","to cry","Verb"
"웃다","utda","to laugh","Verb"
"위","wi","on / above","Noun"
"유명하다","yumyeonghada","to be famous","Adjective"
"은행","eunhaeng","bank","Noun"
"음료수","eumnyosu","beverage","Noun"
"의사","uisa","doctor","Noun"
"의자","uija","chair","Noun"
"이","i","tooth","Noun"
"이거","igeo","this","Pronoun"
"이것","igeot","this thing","Pronoun"
"이사하다","isahada","to move (house)","Verb"
"이야기","iyagi","story","Noun"
"이해하다","ihaehada","to understand","Verb"
"인터넷","inteonet","internet","Noun"
"일어나다","ireonada","to get up","Verb"
"일요일","iryoil","Sunday","Noun"
"일찍","iljjik","early","Adverb"
"읽다","ikda","to read","Verb"
"잃어버리다","ireobeorida","to lose","Verb"
"입다","ipda","to wear","Verb"
"있다","itda","to be / exist","Verb"
"잊다","itda","to forget","Verb"
"자동차","jadongcha","car","Noun"
"자전거","jajeongeo","bicycle","Noun"
"자주","jaju","often","Adverb"
"작년","jangnyeon","last year","Noun"
"잠","jam","sleep","Noun"
"잠깐","jamkkan","moment / brief time","Adverb"
"잡지","japji","magazine","Noun"
"장갑","janggap","gloves","Noun"
"장미","jangmi","rose","Noun"
"재미있다","jaemiitda","to be fun","Adjective"
"저","jeo","I (formal)","Pronoun"
"저것","jeogeot","that thing over there","Pronoun"
"저기","jeogi","over there","Pronoun"
"저녁","jeonyeok","evening / dinner","Noun"
"적다","jeokda","to be few","Adjective"
"전화","jeonhwa","phone call","Noun"
"전화번호","jeonhwabeonho","phone number","Noun"
"전화하다","jeonhwahada","to make a call","Verb"
"점심","jeomsim","lunch","Noun"
"젓가락","jeotgarak","chopsticks","Noun"
"정류장","jeongnyujang","bus stop","Noun"
"제주도","jejudo","Jeju Island","Noun"
"조용하다","joyonghada","to be quiet","Adjective"
"졸업하다","joreophada","to graduate","Verb"
"좀","jom","please / a little","Adverb"
"좁다","jopda","to be narrow","Adjective"
"종이","jongi","paper","Noun"
"좋아하다","joahada","to like","Verb"
"죄송하다","joesonghada","to be sorry (honorific)","Adjective"
"주다","juda","to give","Verb"
"주말","jumal","weekend","Noun"
"주스","juseu","juice","Noun"
"죽다","jukda","to die","Verb"
"준비하다","junbihada","to prepare","Verb"
"중학교","junghakgyo","middle school","Noun"
"지갑","jigap","wallet","Noun"
"지난주","jinanju","last week","Noun"
"지하철","jihacheol","subway","Noun"
"집","jip","house","Noun"
"짜다","jjada","to be salty","Adjective"
"찍다","jjikda","to take (photo) / to dip","Verb"
"차","cha","car / tea","Noun"
"착하다","chakhada","to be nice / good-natured","Adjective"
"창문","changmun","window","Noun"
"찾다","chatda","to find","Verb"
"책","chaek","book","Noun"
"책상","chaeksang","desk","Noun"
"청소하다","cheongsohada","to clean","Verb"
"초등학교","chodeunghakgyo","elementary school","Noun"
"축하하다","chukhahada","to congratulate","Verb"
"출발하다","chulbalhada","to depart","Verb"
"춤","chum","dance","Noun"
"춥다","chupda","to be cold","Adjective"
"취미","chwimi","hobby","Noun"
"치마","chima","skirt","Noun"
"친구","chingu","friend","Noun"
"침대","chimdae","bed","Noun"
"카메라","kamera","camera","Noun"
"카페","kape","cafe","Noun"
"칼","kal","knife","Noun"
"커피","keopi","coffee","Noun"
"컴퓨터","keompyuteo","computer", "Noun
